latitude	longitude	station_name	station_country	station_country_code	record_id	uhslc_id	version	gloss_id	ssc_id	decimation_method	reference_code	reference_offset
-31.517	159.067	Lord Howe	Australia	36	3991	399	A	148	lord	1	R	0
-31.517	159.067	Lord Howe	Australia	36	3992	399	B	148	lord	1	R	0
-29.867	31.05	Durban	South Africa	710	1811	181	A	13	durb	1	R	0
-29.25	16.867	Port Nolloth	South Africa	710	7011	701	A		ptno	1	R	0
-29.067	167.933	Norfolk Island	Australia	36	622	62	B	124	norf	1	R	0
-29.067	167.95	Norfolk Island	Australia	36	621	62	A	124	norf	1	X	0
-28.8	32.083	Richard's Bay	South Africa	710	1881	188	A		rich	1	R	0
-28.133	311.6	Imbituba	Brazil	76	7181	718	A	351	imbi	1	R	0
-27.367	153.167	Brisbane	Australia	36	3311	331	A	58	bris	1	R	0
-27.15	250.552	Easter	Chile	152	221	22	A	137	east	1	R	0
-27.15	250.552	Easter	Chile	152	222	22	B	137	east	1	R	0
-27.15	250.552	Easter	Chile	152	223	22	C	137	east	1	R	0
-27.067	289.167	Caldera	Chile	152	881	88	A		cald	1	R	0
-26.65	15.15	Luderitz	South Africa	710	7021	702	A		lude	1	R	0
-26.292	279.892	San Felix	Chile	152	351	35	A	177	sanf	1	R	0
-26.167	32.7	Maputo	Mozambique	508	1901	190	A		mapu	1	R	0
-25.975	32.57	Maputo	Mozambique	508	1902	190	B		mapu	1	R	0
-25.017	312.075	Cananeia	Brazil	76	2811	281	A	194	cana	1	R	0
-25.017	312.075	Cananeia	Brazil	76	2812	281	B	194	cana	1	R	0
-24.898	113.652	Carnarvon	Australia	36	1671	167	A	52	carn	1	R	0
-24.767	152.38	Bundaberg	Australia	36	3321	332	A	59	burn	1	R	0
-23.868	35.377	Inhambane	Mozambique	508	9001	900	A	10	inha	1	X	0
-23.65	289.6	Antofagasta	Chile	152	801	80	A	174	anto	1	R	0
-23.5	314.883	Ubatuba	Brazil	76	2821	282	A		ubat	1	R	0
-23.162	150.79	Rosslyn Bay	Australia	36	3301	330	A		ross	1	R	0
-23.125	225.047	Rikitea	France	250	161	16	A	138	riki	1	R	0
-22.95	14.5	Walvis Bay	Namibia	516	2201	220	A	314	walvi	1	R	0
-22.933	316.867	Rio de Janeiro, CG	Brazil	76	7091	709	A	195	rioj	1	R	0
-22.897	316.835	Ilha Fiscal, RJ	Brazil	76	2801	280	A	195	rioj	1	R	0
-22.385	318.23	Macae	Brazil	76	7191	719	A	352	macae	1	R	0
-22.242	166.417	Noumea	France	250	191	19	A	123	numbo	1	R	0
-21.207	200.225	Rarotonga	Cook Islands (the)	184	231	23	A	139	raro	1	R	0
-21.2	200.213	Rarotonga	Cook Islands (the)	184	232	23	B	139	raro	1	R	0
-21.133	184.833	Nuku'alofa	Tonga	776	381	38	A	125	nkfa	1	R	0
-20.935	55.285	Reunion	France	250	1641	164	A	17	reun	1	R	0
-20.503	330.69	Trindade	Brazil	76	2041	204	A	265	trind	1	R	0
-20.318	118.575	Port Hedland	Australia	36	1691	169	A	51	pthe	1	R	0
-20.155	57.495	Port Louis	Mauritius	480	1033	103	C	18	ptlu	1	R	0
-20.153	57.49	Port Louis	Mauritius	480	1031	103	A	18	ptlu	1	R	0
-20.153	57.49	Port Louis	Mauritius	480	1032	103	B	18	ptlu	1	R	0
-19.668	63.418	Rodrigues	Mauritius	480	1051	105	A	19	rodr	1	R	0
-19.277	147.058	Cape Ferguson	Australia	36	3431	343	A	60	ferg	1	R	0
-19.25	146.833	Townsville	Australia	36	3341	334	A	60	ferg	1	R	0
-19.05	190.083	Alofi	Niue	570	5981	598	A		alof	1	R	0
-18.467	289.667	Arica	Chile	152	831	83	A		aric	1	R	0
-18.132	178.427	Suva	Fiji	242	181	18	A	122	viti	1	R	0
-18.132	178.427	Suva	Fiji	242	182	18	B	122	viti	1	R	0
-18.0	122.217	Broome	Australia	36	1661	166	A	40	brom	1	R	0
-17.767	168.3	Port Vila	Vanuatu	548	462	46	B	348	vanu	1	R	0
-17.733	168.317	Port Vila	Vanuatu	548	461	46	A	348	vanu	1	R	0
-17.6	177.433	Lautoka	Fiji	242	4021	402	A		levu	1	R	0
-17.532	210.433	Papeete	France	250	151	15	A	140	pape	1	R	0
-17.525	210.433	Papeete	France	250	152	15	B	140	pape	1	R	0
-17.517	210.483	Matavai	France	250	5901	590	A	140	pape	1	R	0
-17.002	287.892	Matarani	Peru	604	942	94	B		mata	1	R	0
-17.002	287.892	Matarani	Peru	604	943	94	C		mata	1	R	0
-17.0	287.883	Matarani	Peru	604	941	94	A		mata	1	R	0
-16.232	39.902	Antonio Enes	Mozambique	508	1911	191	A		antoe	1	R	0
-15.917	354.283	St. Helena	Saint Helena, Ascension and Tristan da Cunha	654	2921	292	A	264	sthl	1	R	0
-15.917	354.283	St. Helena	Saint Helena, Ascension and Tristan da Cunha	654	2922	292	B	264	sthl	1	R	0
-15.667	321.033	Canavieiras, USCGS	Brazil	76	7071	707	A		canav	1	R	0
-15.453	128.102	Wyndham	Australia	36	1651	165	A		wynd	1	R	0
-15.367	284.8	San Juan	Peru	604	961	96	A		sanju	1	R	0
-15.367	284.8	San Juan	Peru	604	962	96	B		sanju	1	R	0
-15.192	12.145	Mocamedes	Angola	24	2381	238	A		moca	1	R	0
-14.463	40.68	Nacala	Mozambique	508	1931	193	A		naca	1	R	0
-14.463	40.68	Nacala	Mozambique	508	1932	193	B		naca	1	R	0
-14.283	189.317	Pago Pago	American Samoa	16	561	56	A	144	pago	1	R	0
-13.86	136.417	Groote Eylandt	Australia	36	1451	145	A		groo	1	R	0
-13.817	188.25	Apia	Samoa	882	4011	401	A		upol	1	R	0
-13.817	188.25	Apia	Samoa	882	4012	401	B		upol	1	R	0
-13.417	283.867	Pisco	Peru	604	6831	683	A		pisc	1	R	0
-13.417	283.867	Pisco	Peru	604	6832	683	B		pisc	1	R	0
-13.4	48.3	Nosy Be	Madagascar	450	1501	150	A	15	nosy	1	R	0
-12.973	321.483	Salvador	Brazil	76	7082	708	B	334	salv	1	R	0
-12.968	40.487	Pemba	Mozambique	508	1923	192	C	11	pemba	1	R	0
-12.967	40.488	Pemba	Mozambique	508	1922	192	B	11	pemba	1	R	0
-12.967	40.5	Pemba	Mozambique	508	1921	192	A	11	pemba	1	R	0
-12.967	321.483	Salvador, USCGS	Brazil	76	7081	708	A	334	salv	1	R	0
-12.782	45.258	Dzaoudzi	France	250	1551	155	A	96	dzao	1	R	0
-12.467	130.85	Darwin	Australia	36	1681	168	A	62	darw	1	R	0
-12.333	13.558	Lobito	Angola	24	2371	237	A	262	lobi	1	R	0
-12.117	96.883	Cocos	Australia	36	1711	171	A	46	cocb	1	R	0
-12.05	282.85	Callao	Peru	604	931	93	A	173	call	1	R	0
-12.05	282.85	Callao	Peru	604	932	93	B	173	call	1	R	0
-10.6	141.917	Booby Island	Australia	36	3361	336	A	61	boob	1	R	0
-10.417	105.667	Christmas	Australia	36	1701	170	A	47	chrs	1	R	0
-10.317	150.453	Alotau	Papua New Guinea	598	691	69	A	63	alot	1	R	0
-9.81	220.973	Hiva Oa	France	250	171	17	A		hiva	1	R	0
-9.805	220.965	Hiva Oa	France	250	172	17	B		hiva	1	R	0
-9.478	147.14	Port Moresby	Papua New Guinea	598	641	64	A		ptmo	1	R	0
-9.425	159.957	Honiara	Solomon Islands	90	91	9	A	66	solo	1	R	0
-9.422	159.955	Honiara	Solomon Islands	90	92	9	B	66	solo	1	R	0
-8.977	201.947	Penrhyn	Cook Islands (the)	184	241	24	A	143	penr	1	R	0
-8.93	219.918	Nuku Hiva	France	250	311	31	A	142	nuku	1	R	0
-8.787	13.237	Luanda	Angola	24	2361	236	A		luan	1	R	0
-8.747	115.212	Benoa	Indonesia	360	1632	163	B	49	beno	1	R	0
-8.745	115.21	Benoa	Indonesia	360	1631	163	A	49	beno	1	R	0
-8.732	116.072	Lembar	Indonesia	360	4191	419	A		lemba	1	R	0
-8.525	179.195	Funafuti	Tuvalu	798	251	25	A	121	fong	1	R	0
-8.503	179.21	Funafuti	Tuvalu	798	252	25	B	121	fong	1	R	0
-8.35	325.05	Suape	Brazil	76	7101	710	A		suap	1	R	0
-8.28	111.73	Prigi	Indonesia	360	1251	125	A		prig	1	R	0
-8.117	114.383	Meneng	Indonesia	360	1581	158	A		mene	1	X	0
-8.05	325.133	Recife, USCGS	Brazil	76	7121	712	A		reci	1	R	0
