latitude	longitude	station_name	station_country	station_country_code	record_id	uhslc_id	gloss_id	ssc_id	last_rq_date
-17.6	177.433	Lautoka	Fiji	242	4020	402		levu	2021-12-21T22:59:59Z
-17.525	210.433	Papeete	France	250	150	15	140	pape	2018-12-31T22:59:59Z
-17.002	287.892	Matarani	Peru	604	940	94		mata	2019-12-31T22:59:59Z
-16.598	216.338	Makemo	French Polynesia	258	4540	454	354	make	
-15.967	354.3	St. Helena	Saint Helena, Ascension and Tristan da Cunha	654	2920	292	264	sthl	2013-02-25T22:59:59Z
-14.945	212.293	Rangiroa Atoll	France	250	4550	455	355	rangi	
-14.292	181.843	Leava, Futuna Island	France	250	4530	453	353	futu	
-14.283	189.317	Pago Pago	American Samoa	16	560	56	144	pago	2019-12-31T22:59:59Z
-14.283	189.438	Aunuu	American Samoa	16	4070	407		aunu	
-14.272	189.427	Auasi	American Samoa	16	4040	404		auas	
-14.24	190.49	Tau	American Samoa	16	4080	408		tau1	
-14.163	190.318	Ofu	American Samoa	16	4090	409		ofu1	
-13.817	188.25	Apia	Samoa	882	4010	401		upol	2021-12-31T22:59:59Z
-12.967	40.488	Pemba	Mozambique	508	1920	192	11	pemba	2013-03-01T22:59:59Z
-12.967	321.483	Salvador, USCGS	Brazil	76	7080	708	334	salv	2018-12-31T22:59:59Z
-12.78	45.257	Dzaoudzi	France	250	1550	155	96	dzao	2018-12-31T22:59:59Z
-12.467	130.85	Darwin	Australia	36	1680	168	62	darw	2021-12-31T22:59:59Z
-12.117	96.9	Cocos	Australia	36	1710	171	46	cocb	2021-12-31T22:59:59Z
-12.05	282.85	Callao	Peru	604	930	93	173	call	2017-09-04T22:59:59Z
-10.6	141.917	Booby Island	Australia	36	3360	336	61	boob	2021-12-31T22:59:59Z
-10.417	105.667	Christmas	Australia	36	1700	170	47	chrs	2021-12-31T22:59:59Z
-10.283	40.183	Mtwara	Tanzania, United Republic of	834	9220	922	9	mtwa	
-9.81	220.973	Hiva Oa	France	250	170	17		hiva	2017-09-04T22:59:59Z
-9.425	159.957	Honiara	Solomon Islands	90	90	9	66	solo	2021-12-31T22:59:59Z
-9.4	119.233	Waikelo	Indonesia	360	4180	418	346	waik	
-8.977	201.947	Penrhyn	Cook Islands (the)	184	240	24	143	penr	2018-12-31T22:59:59Z
-8.93	219.918	Nuku Hiva	France	250	310	31	142	nuku	2018-12-31T22:59:59Z
-8.745	115.21	Benoa	Indonesia	360	1630	163	49	beno	2018-12-31T22:59:59Z
-8.732	116.072	Lembar	Indonesia	360	4190	419		lemba	2018-12-21T22:59:59Z
-8.525	179.195	Funafuti	Tuvalu	798	250	25	121	fong	2021-12-31T22:59:59Z
-8.5	110.783	Sadeng	Indonesia	360	4170	417		sade	
-8.283	111.733	Prigi	Indonesia	360	1250	125		prig	2018-12-31T22:59:59Z
-7.982	131.29	Saumlaki	Indonesia	360	4200	420		saum	2018-12-31T22:59:59Z
-7.917	345.583	Ascension	United Kingdom of Great Britain and Northern Ireland (the)	826	2910	291	263	ascen	2024-12-31T22:59:59Z
-7.752	109.017	Cilicap	Indonesia	360	1620	162	291	cila	2018-12-31T22:59:59Z
-7.29	72.393	Diego Garcia	United Kingdom of Great Britain and Northern Ireland (the)	826	1040	104	26	garc	2018-12-31T22:59:59Z
-6.933	279.283	Lobos de Afuera	Peru	604	840	84		lobo	
-6.483	105.667	Tanjung Lesung	Indonesia	360	4160	416		tjls	
-6.155	39.19	Zanzibar	Tanzania, United Republic of	834	1510	151	297	zanz	2018-12-31T22:59:59Z
-4.8	11.85	Pointe Noire	Congo (the)	178	2340	234	261	pntn	
-4.672	55.528	Pt. La Rue	Seychelles	690	1210	121	339	laru	2018-12-31T22:59:59Z
-4.582	278.718	Talara	Peru	604	920	92		tala	2024-12-31T22:59:59Z
-4.07	39.657	Mombasa	Kenya	404	1010	101	8	momb	2018-12-31T22:59:59Z
-3.717	321.533	Fortaleza	Brazil	76	2830	283	336	fort	2018-12-31T22:59:59Z
-3.7	128.2	Ambon	Indonesia	360	1330	133	68	ambo	2018-12-31T22:59:59Z
-2.81	188.282	Kanton	Kiribati	296	130	13	145	kant	2018-12-31T22:59:59Z
-2.272	40.903	Lamu	Kenya	404	1490	149		lamu	2018-12-31T22:59:59Z
-2.2	279.083	La Libertad	Ecuador	218	910	91	172	lali	2018-12-31T22:59:59Z
-2.033	147.367	Lombrum	Papua New Guinea	598	4000	400	331	lomb	2021-12-31T22:59:59Z
-1.0	100.367	Padang	Indonesia	360	1070	107	45	pada	2018-12-31T22:59:59Z
-0.753	269.688	Santa Cruz	Ecuador	218	300	30		sant	2018-12-31T22:59:59Z
-0.687	73.152	Gan	Maldives	462	1090	109	27	ganm	2018-12-31T22:59:59Z
-0.532	166.91	Nauru	Nauru	520	40	4	114	naur	2021-12-31T22:59:59Z
-0.435	269.715	Baltra	Ecuador	218	30	3	169	balt	2018-12-31T22:59:59Z
0.348	6.737	Sao Tome	Sao Tome and Principe	678	2250	225	260	saot	2010-08-31T22:59:59Z
0.555	97.822	Telukdalam	Indonesia	360	9130	913		telu	
1.098	154.777	Kapingamarangi	Micronesia (Federated States of)	583	290	29	117	kapi	2018-12-04T22:59:59Z
1.262	103.853	Tanjong Pagar	Singapore	702	6990	699	44	tanjo	2018-12-30T22:59:59Z
1.362	172.93	Tarawa, Bairiki	Kiribati	296	20	2	113	tara	2021-12-31T22:59:59Z
1.438	125.19	Bitung	Indonesia	360	330	33	69	bitu	2018-12-31T22:59:59Z
1.75	98.767	Sibolga	Indonesia	360	1220	122		sibo	2018-12-31T22:59:59Z
1.982	202.528	Christmas	Kiribati	296	110	11	146	xmas	2018-12-31T22:59:59Z
4.183	73.533	Male	Maldives	462	1080	108		male	2017-09-04T22:59:59Z
4.217	9.133	Port Sonara	Cameroon	120	8160	816	350	sona	2011-06-24T22:59:59Z
4.85	307.717	Cayenne	France	250	2270	227	202	caye	2007-12-31T22:59:59Z
4.883	358.25	Takoradi	Ghana	288	2310	231	335	tako	2012-09-07T22:59:59Z
5.128	96.132	Meulaboh	Indonesia	360	9140	914		meul	
5.557	272.952	Cocos Island	Costa Rica	188	3920	392		cocos	
5.833	95.333	Sabang	Indonesia	360	1230	123	347	saba	2018-12-31T22:59:59Z
5.872	197.912	Palmyra Island	United States of America (the)	840	430	43		plmy	2018-12-31T22:59:59Z
6.423	3.412	Lagos	Nigeria	566	2330	233	259	lagos	2009-06-30T22:59:59Z
6.432	99.765	Langkawi	Malaysia	458	1420	142		lank	2018-12-31T22:59:59Z
6.767	73.167	Hanimaadhoo	Maldives	462	1170	117		hani	2018-12-31T22:59:59Z
6.963	79.858	Colombo	Sri Lanka	144	1150	115	33	colo	2017-09-04T22:59:59Z
6.978	158.197	Pohnpei	Micronesia (Federated States of)	583	10	1	115	deke	2021-12-31T22:59:59Z
7.083	125.633	Davao	Philippines (the)	608	3720	372	71	davo	2018-12-31T22:59:59Z
7.107	171.373	Majuro	Marshall Islands (the)	584	50	5	112	marsh	2021-12-31T22:59:59Z
7.33	134.463	Malakal	Palau	585	70	7	120	mala	2018-12-31T22:59:59Z
7.453	151.898	Chuuk	Micronesia (Federated States of)	583	540	54	116	chuu	2024-12-31T22:59:59Z
7.832	98.425	Ko Taphao Noi	Thailand	764	1480	148	42	kota	2019-12-30T22:59:59Z
8.117	73.05	Minicoy	India	356	1530	153	29	mini	
8.567	97.633	Ko Miang	Thailand	764	1180	118		komi	
8.733	167.733	Kwajalein	Marshall Islands (the)	584	550	55	111	kwaj	2021-12-31T22:59:59Z
8.962	280.427	Balboa	Panama	591	3020	302	168	balb	
9.35	280.1	Cristobal	Panama	591	2660	266	208	coco	
9.4	275.833	Quepos	Costa Rica	188	870	87	167	quepo	2017-09-04T22:59:59Z
9.508	138.128	Yap	Micronesia (Federated States of)	583	80	8	119	yapi	2018-12-31T22:59:59Z
9.558	281.052	El Porvenir	Panama	591	7390	739		elpo	2018-12-31T22:59:59Z
9.967	76.267	Cochin	India	356	1740	174	32	coch	
10.0	276.967	Limon	Costa Rica	188	2680	268		limn	2018-12-31T22:59:59Z
10.34	107.072	Vung Tau	Viet Nam	704	3830	383		vung	2018-12-31T22:59:59Z
11.235	285.778	Santa Marta	Colombia	170	7380	738		sama	2018-12-31T22:59:59Z
11.6	43.15	Djibouti	Djibouti	262	1190	119	2	djib	2016-05-05T22:59:59Z
11.683	92.767	Port Blair	India	356	9080	908	38	ptbl	
11.795	99.817	Ko Lak	Thailand	764	3280	328	39	kola	2019-12-30T22:59:59Z
12.0	298.233	Prickley Bay	Grenada	308	7890	789		pric	2018-12-31T22:59:59Z
12.187	290.98	Bullen Bay	Curacao	531	8780	878		bull	2018-12-31T22:59:59Z
12.568	278.298	San Andres	Colombia	170	7370	737		sana	2018-12-31T22:59:59Z
12.783	44.983	Aden	Yemen	887	1720	172	3	aden	2014-12-30T22:59:59Z
13.133	298.8	Kingstow	Unknown		7950	795		none	
13.15	123.75	Legaspi	Philippines (the)	608	3710	371	72	lega	2017-09-04T22:59:59Z
13.433	144.65	Guam	United States of America (the)	840	530	53	149	guam	2021-12-31T22:59:59Z
13.583	270.167	Acajutla	El Salvador	222	820	82	182	acaj	2018-12-31T22:59:59Z
13.767	109.25	Qui Nhon	Viet Nam	704	3810	381	75	quin	2018-12-30T22:59:59Z
13.817	120.202	Lubang	Philippines (the)	608	6550	655		luba	2018-12-31T22:59:59Z
14.583	120.967	Manila	Philippines (the)	608	3700	370	73	mani	2014-12-31T22:59:59Z
14.6	298.933	Fort de France	France	250	2710	271		lero	2018-12-31T22:59:59Z
14.677	342.58	Dakar	Senegal	686	2230	223	253	dakar	2018-12-31T22:59:59Z
14.765	120.252	Subic Bay	Philippines (the)	608	3820	382		subi	2018-12-31T22:59:59Z
15.227	145.742	Saipan	United States of America (the)	840	280	28	118	saip	2018-12-31T22:59:59Z
15.3	298.6	Roseau	Dominica	212	7860	786		rose	2015-02-28T22:59:59Z
16.483	97.617	Moulmein	Myanmar	104	9060	906	141	moul	2018-12-31T22:59:59Z
16.75	190.483	Johnston	United States of America (the)	840	520	52	109	john	2018-12-31T22:59:59Z
16.75	337.017	Palmeira	Cabo Verde	132	2350	235	329	plma	2018-12-31T22:59:59Z
16.84	260.088	Acapulco, Gro.	Mexico	484	3160	316	267	acap	2011-04-24T22:59:59Z
16.935	54.007	Salalah	Oman	512	1140	114	4	sala	2018-05-22T22:59:59Z
17.683	83.283	Vishakhapatnam	India	356	1570	157	35	vish	
18.017	120.483	Currimao	Philippines (the)	608	6540	654		curri	2018-12-31T22:59:59Z
18.1	344.05	Nouakchott	Mauritania	478	8060	806		noct	2015-02-08T22:59:59Z
18.228	286.382	St. Louis du Sud	Haiti	332	4060	406		slds	
18.46	293.883	San Juan, PR	United States of America (the)	840	2450	245	206	sanj	2021-12-31T22:59:59Z
18.5	291.62	Punta Cana	Dominican Republic (the)	214	7760	776		ptca	2018-12-31T22:59:59Z
18.567	287.65	Portu-Prince	Haiti	332	7990	799	209	ptpr	2018-12-31T22:59:59Z
18.643	285.89	Jeremie	Haiti	332	4050	405		jrmi	
18.733	248.983	Socorro	Mexico	484	900	90	162	soco	1997-09-30T22:59:59Z
19.05	255.667	Manzanillo	Mexico	484	3950	395	163	manz	2013-08-28T22:59:59Z
19.185	204.093	Milolii	Unknown		4310	431		none	
19.283	166.617	Wake	United States of America (the)	840	510	51	105	wake	2021-12-31T22:59:59Z
19.668	203.977	Honokohau	United States of America (the)	840	4300	430		hoko	
19.733	204.933	Hilo, Hawaii	United States of America (the)	840	600	60	287	hilo	2021-12-31T22:59:59Z
19.8	289.3	Puerto Plata	Dominican Republic (the)	214	7770	777		ptpl	2017-09-04T22:59:59Z
20.033	204.167	Kawaihae	United States of America (the)	840	5520	552		kawa	2022-12-31T22:59:59Z
20.15	92.9	Akyab (Sittwe)	Myanmar	104	9070	907	37	sitt	2018-12-31T22:59:59Z
