uhslc_id,latitude,longitude,station_name,station_country,station_country_code,gloss_id,station_country_alpha3,hdi,h01,h26
5,7.107,171.373,"Majuro, Marshall Islands",Marshall Islands (the),584,112,MHL,0.732,50.099999999999866,33.89999999999992
822,48.383,355.505,"Brest, France",France,250,242,FRA,0.916,143.20000000000158,96.6000000000009
