,80,90,95,99
slr_gis_IntLow_2030_2060,0.5,0.7000000000000002,0.8000000000000003,1.0
slr_glaciers_IntLow_2030_2060,0.30000000000000027,0.44999999999999973,0.6000000000000001,0.7505
slr_landwater_IntLow_2030_2060,0.09999999999999998,0.19999999999999996,0.20000000000000007,0.30000000000000004
slr_massdef_IntLow_2030_2060,0.9000000000000004,1.200000000000001,1.402499999999998,1.9505000000000006
slr_total_Int_2030_2060,1.1999999999999993,1.6499999999999986,2.8024999999999984,3.6499999999999986
slr_ocean_dyn_Int_2030_2060,1.3100000000000025,1.549999999999999,1.75,2.0
slr_vlm_Int_2030_2060,0.5,0.7,0.7999999999999999,1.0
slr_ais_Int_2030_2060,0.20000000000000018,0.20000000000000018,0.30000000000000027,0.5
slr_gis_Int_2030_2060,0.8999999999999999,1.1,1.1999999999999997,1.4999999999999996
slr_glaciers_Int_2030_2060,0.4100000000000024,0.5999999999999996,0.7000000000000002,0.9504999999999997
slr_landwater_Int_2030_2060,0.10000000000000009,0.19999999999999996,0.20000000000000007,0.25049999999999956
slr_massdef_Int_2030_2060,1.1500000000000021,1.5,1.8000000000000007,2.5509999999999997
slr_total_IntHigh_2030_2060,2.5600000000000005,3.9000000000000057,4.802500000000002,6.551499999999999
slr_ocean_dyn_IntHigh_2030_2060,1.25,1.4999999999999991,1.7499999999999991,2.0505000000000004
slr_vlm_IntHigh_2030_2060,0.6000000000000001,0.75,0.85,1.0499999999999998
slr_ais_IntHigh_2030_2060,0.7000000000000011,0.8999999999999986,1.0,2.0
slr_gis_IntHigh_2030_2060,1.8,2.2,2.3499999999999996,3.1000000000000005
slr_glaciers_IntHigh_2030_2060,0.4499999999999993,0.5999999999999996,0.7000000000000002,0.9499999999999997
slr_landwater_IntHigh_2030_2060,0.09999999999999998,0.15000000000000002,0.20000000000000007,0.20000000000000007
slr_massdef_IntHigh_2030_2060,2.25,2.8000000000000007,3.1999999999999993,4.299999999999997
slr_total_High_2030_2060,3.9000000000000057,5.5,6.204999999999998,9.399999999999999
slr_ocean_dyn_High_2030_2060,1.2999999999999998,1.549999999999999,1.7024999999999988,2.0500000000000007
slr_vlm_High_2030_2060,0.5,0.7,0.8,1.0
slr_ais_High_2030_2060,1.1499999999999986,1.3000000000000007,1.4499999999999993,3.0
slr_gis_High_2030_2060,3.5000000000000018,4.199999999999999,4.6,5.900499999999998
slr_glaciers_High_2030_2060,0.4499999999999993,0.5999999999999996,0.7000000000000002,1.0499999999999998
slr_landwater_High_2030_2060,0.19999999999999996,0.20000000000000007,0.20000000000000007,0.30000000000000004
slr_massdef_High_2030_2060,3.8999999999999986,4.549999999999997,5.299999999999997,6.5085
slr_total_Low_2040_2070,0.9000000000000004,1.25,1.4499999999999993,1.6999999999999993
slr_ocean_dyn_Low_2040_2070,0.9000000000000004,1.0999999999999996,1.2524999999999973,1.7999999999999998
slr_vlm_Low_2040_2070,0.5,0.65,0.8,1.0
slr_ais_Low_2040_2070,0.0,0.0,0.0,0.0
slr_gis_Low_2040_2070,0.40000000000000013,0.5,0.5,0.7000000000000002
slr_glaciers_Low_2040_2070,0.2999999999999998,0.34999999999999964,0.40000000000000036,0.6000000000000001
slr_landwater_Low_2040_2070,0.09999999999999987,0.20000000000000007,0.20000000000000007,0.30000000000000004
slr_massdef_Low_2040_2070,0.6500000000000004,0.9000000000000004,1.0499999999999998,1.6999999999999993
slr_total_IntLow_2040_2070,1.0499999999999972,1.4000000000000006,1.6999999999999993,2.9505000000000026
slr_ocean_dyn_IntLow_2040_2070,0.8999999999999995,1.0,1.1499999999999995,1.3000000000000007
slr_vlm_IntLow_2040_2070,0.5,0.65,0.8,1.0
slr_ais_IntLow_2040_2070,0.20000000000000018,0.2550000000000015,0.30000000000000027,0.7000000000000002
slr_gis_IntLow_2040_2070,0.6499999999999999,0.7999999999999998,0.8999999999999999,1.1
slr_glaciers_IntLow_2040_2070,0.3999999999999999,0.5,0.5999999999999996,0.8000000000000003
slr_landwater_IntLow_2040_2070,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.4
slr_massdef_IntLow_2040_2070,1.0,1.3999999999999986,1.5999999999999996,2.100500000000001
slr_total_Int_2040_2070,1.660000000000004,2.650000000000002,3.9499999999999993,4.449999999999999
slr_ocean_dyn_Int_2040_2070,1.5,1.6999999999999993,1.8999999999999986,2.1999999999999993
slr_vlm_Int_2040_2070,0.5,0.7000000000000001,0.85,1.0
slr_ais_Int_2040_2070,0.3000000000000007,0.40000000000000036,0.40000000000000036,0.8999999999999999
slr_gis_Int_2040_2070,1.0999999999999996,1.2999999999999998,1.3999999999999995,1.8004999999999993
slr_glaciers_Int_2040_2070,0.5,0.7000000000000002,0.8000000000000007,1.1504999999999999
slr_landwater_Int_2040_2070,0.10000000000000009,0.19999999999999996,0.30000000000000004,0.30000000000000004
slr_massdef_Int_2040_2070,1.4000000000000004,1.9000000000000004,2.25,3.0500000000000007
slr_total_IntHigh_2040_2070,3.949999999999997,5.0,5.799999999999997,7.803499999999994
slr_ocean_dyn_IntHigh_2040_2070,1.3100000000000025,1.5999999999999996,1.700000000000001,2.0504999999999987
slr_vlm_IntHigh_2040_2070,0.6,0.7,0.8,1.0
slr_ais_IntHigh_2040_2070,0.8000000000000007,0.9500000000000011,1.0999999999999996,2.3000000000000007
slr_gis_IntHigh_2040_2070,2.5999999999999996,3.200000000000001,3.5,4.5005
slr_glaciers_IntHigh_2040_2070,0.5,0.6000000000000005,0.7999999999999998,1.0499999999999998
slr_landwater_IntHigh_2040_2070,0.09999999999999987,0.19999999999999996,0.19999999999999996,0.29999999999999993
slr_massdef_IntHigh_2040_2070,2.9499999999999993,3.5500000000000043,4.352499999999999,5.351000000000004
slr_total_High_2040_2070,5.75,7.1550000000000065,8.152500000000003,12.200500000000002
slr_ocean_dyn_High_2040_2070,1.3500000000000014,1.5999999999999996,1.799999999999999,2.2504999999999997
slr_vlm_High_2040_2070,0.5,0.7,0.8,1.0
slr_ais_High_2040_2070,2.0,2.299999999999997,2.599999999999998,4.802999999999995
slr_gis_High_2040_2070,5.399999999999999,6.649999999999999,7.104999999999997,9.400999999999998
slr_glaciers_High_2040_2070,0.5,0.6999999999999994,0.8000000000000007,1.1500000000000004
slr_landwater_High_2040_2070,0.10000000000000009,0.25,0.30000000000000004,0.30000000000000004
slr_massdef_High_2040_2070,5.75,6.850000000000001,7.850000000000001,10.0545
slr_total_Low_2050_2080,1.0,1.2500000000000018,1.5999999999999996,1.799999999999999
slr_ocean_dyn_Low_2050_2080,0.5,0.5,0.6000000000000001,0.6500000000000004
slr_vlm_Low_2050_2080,0.5,0.65,0.7999999999999999,1.0
slr_ais_Low_2050_2080,0.0,0.0,0.0,0.0
slr_gis_Low_2050_2080,0.40000000000000013,0.5000000000000002,0.6000000000000001,0.7000000000000002
slr_glaciers_Low_2050_2080,0.20000000000000018,0.30000000000000027,0.3999999999999999,0.5
slr_landwater_Low_2050_2080,0.09999999999999987,0.19999999999999996,0.29999999999999993,0.30000000000000004
slr_massdef_Low_2050_2080,0.6500000000000004,0.8499999999999996,1.0999999999999996,1.6999999999999993
slr_total_IntLow_2050_2080,1.2999999999999978,1.6999999999999993,2.0000000000000036,2.950499999999999
slr_ocean_dyn_IntLow_2050_2080,0.6000000000000005,0.7000000000000002,0.7999999999999998,1.0
slr_vlm_IntLow_2050_2080,0.5,0.7,0.8,0.9504999999999995
slr_ais_IntLow_2050_2080,0.2999999999999998,0.30000000000000027,0.3999999999999999,0.9000000000000004
slr_gis_IntLow_2050_2080,0.7999999999999998,0.8999999999999999,1.0,1.2504999999999995
slr_glaciers_IntLow_2050_2080,0.3999999999999999,0.5,0.5999999999999996,0.7999999999999998
slr_landwater_IntLow_2050_2080,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.4
slr_massdef_IntLow_2050_2080,1.0999999999999996,1.5,1.6999999999999993,2.1999999999999993
slr_total_Int_2050_2080,2.1999999999999957,3.405000000000006,4.852499999999999,5.8005
slr_ocean_dyn_Int_2050_2080,1.3499999999999979,1.5500000000000007,1.700000000000001,2.1500000000000004
slr_vlm_Int_2050_2080,0.5,0.7,0.7999999999999999,1.0004999999999995
slr_ais_Int_2050_2080,0.5,0.6499999999999988,0.8024999999999984,1.3004999999999984
slr_gis_Int_2050_2080,1.2000000000000002,1.5,1.6000000000000005,2.0999999999999996
slr_glaciers_Int_2050_2080,0.5600000000000027,0.75,1.0,1.2999999999999998
slr_landwater_Int_2050_2080,0.11000000000000237,0.19999999999999996,0.30000000000000004,0.3500000000000001
slr_massdef_Int_2050_2080,1.8000000000000007,2.4550000000000005,2.9499999999999993,3.8009999999999997
slr_total_IntHigh_2050_2080,5.549999999999999,6.600000000000002,7.699999999999997,10.450000000000003
slr_ocean_dyn_IntHigh_2050_2080,1.2100000000000029,1.450000000000001,1.6499999999999986,2.0
slr_vlm_IntHigh_2050_2080,0.55,0.7,0.8,1.0
slr_ais_IntHigh_2050_2080,0.6999999999999993,1.25,1.5,2.4000000000000004
slr_gis_IntHigh_2050_2080,3.1000000000000014,3.8000000000000007,4.100000000000001,5.301
slr_glaciers_IntHigh_2050_2080,0.5,0.7000000000000002,0.8999999999999995,1.1999999999999993
slr_landwater_IntHigh_2050_2080,0.1499999999999999,0.19999999999999996,0.25,0.3004999999999995
slr_massdef_IntHigh_2050_2080,3.75,4.755000000000007,5.502499999999998,6.850999999999994
slr_total_High_2050_2080,7.760000000000002,8.75,10.100000000000009,14.251
slr_ocean_dyn_High_2050_2080,1.2499999999999982,1.5,1.6999999999999993,2.150500000000002
slr_vlm_High_2050_2080,0.5,0.65,0.75,1.0
slr_ais_High_2050_2080,3.1999999999999957,3.75,4.199999999999996,8.25
slr_gis_High_2050_2080,6.500000000000001,8.0,8.600000000000001,11.201500000000001
