,80,90,95,99
hdi,0.11199999999999999,0.12749999999999995,0.14152499999999993,0.17400000000000004
first_year,17.5,22.0,28.0,51.504999999999995
last_year,0.0,0.0,0.0,0.0
n_good_years,19.0,24.0,28.5,48.01999999999998
dh_mean_20_days,5.449999999999999,7.6,9.7,12.55
dh_mean_26_days,6.0,8.355000000000002,10.557499999999994,14.100000000000001
dh_mean_50_days,7.5,10.0,13.002499999999998,17.902
dh_median_20_days,5.300000000000001,7.0,8.404999999999998,12.500499999999999
dh_median_26_days,5.699999999999999,7.505000000000001,9.299999999999999,14.300999999999998
dh_median_50_days,7.060000000000002,9.3,11.904999999999998,18.004499999999997
res_dymx_std,1.7958594401656387,2.8234690512790843,3.681697924525984,5.686239066806449
res_dymx_top50_std,2.3149497977989237,2.8822862367234587,3.3380754354648565,4.306737343495968
res_momn_std,1.140411364535637,1.415676023209201,1.7114646284843755,2.260815903039324
res_momn_q75_std,0.7782683047580959,1.1332100439239703,1.328499134997556,1.7356880259128558
res_momn_amx_std,1.0923138832584023,1.3669037435832272,1.598054778584732,2.0024277604660186
res_hf_dymx_std,2.58518618758774,3.6923774739350295,5.095570822693954,7.042627975920917
res_hf_dymx_top50_std,2.3149497977989237,2.8822862367234587,3.3380754354648565,4.306737343495968
tide_dymx_std,1.8592093616082186,2.3665110944843595,2.9075250065391636,4.030679780425449
tide_dymx_top50_std,1.3021268342228058,1.584659969214345,1.8275148356905413,2.4128342198157062
slr_total_Low_2020_2050,1.200000000000001,1.705000000000002,2.3524999999999974,3.251499999999998
slr_ocean_dyn_Low_2020_2050,1.4000000000000004,1.6500000000000004,1.8999999999999995,2.3499999999999996
slr_vlm_Low_2020_2050,0.7,0.8999999999999999,1.1024999999999978,1.65
slr_ais_Low_2020_2050,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998
slr_gis_Low_2020_2050,0.5,0.6000000000000001,0.7,0.8999999999999999
slr_glaciers_Low_2020_2050,0.34999999999999964,0.5,0.5499999999999998,0.9504999999999995
slr_landwater_Low_2020_2050,0.09999999999999998,0.19999999999999996,0.19999999999999996,0.19999999999999996
slr_massdef_Low_2020_2050,0.7000000000000002,1.1000000000000005,1.3999999999999995,1.9509999999999987
slr_total_IntLow_2020_2050,1.200000000000001,1.8999999999999986,2.9024999999999963,3.700000000000001
slr_ocean_dyn_IntLow_2020_2050,1.3000000000000007,1.6050000000000015,1.9500000000000002,2.5004999999999997
slr_vlm_IntLow_2020_2050,0.7,0.9,1.1,1.6004999999999996
slr_ais_IntLow_2020_2050,0.19999999999999973,0.2999999999999998,0.3999999999999999,0.6499999999999999
slr_gis_IntLow_2020_2050,0.6000000000000001,0.7000000000000002,0.8999999999999999,1.1004999999999996
slr_glaciers_IntLow_2020_2050,0.35000000000000053,0.5,0.6000000000000001,1.100999999999999
slr_landwater_IntLow_2020_2050,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.19999999999999996
slr_massdef_IntLow_2020_2050,1.0,1.299999999999999,1.6000000000000005,2.3019999999999987
slr_total_Int_2020_2050,1.5999999999999979,2.3999999999999986,3.299999999999999,4.4
slr_ocean_dyn_Int_2020_2050,1.6000000000000005,2.0,2.249999999999999,2.6505
slr_vlm_Int_2020_2050,0.7,0.8999999999999999,1.1,1.6004999999999996
slr_ais_Int_2020_2050,0.19999999999999996,0.2999999999999998,0.3999999999999999,0.7
slr_gis_Int_2020_2050,0.8000000000000003,1.0,1.1,1.5
slr_glaciers_Int_2020_2050,0.4499999999999994,0.5999999999999996,0.7000000000000002,1.4
slr_landwater_Int_2020_2050,0.10000000000000009,0.19999999999999996,0.20000000000000007,0.20000000000000007
slr_massdef_Int_2020_2050,1.200000000000001,1.549999999999999,1.9000000000000004,2.8019999999999987
slr_total_IntHigh_2020_2050,2.450000000000003,3.650000000000002,4.752499999999998,5.699999999999999
slr_ocean_dyn_IntHigh_2020_2050,1.5499999999999998,2.049999999999999,2.3500000000000005,2.8
slr_vlm_IntHigh_2020_2050,0.75,0.95,1.2,1.6
slr_ais_IntHigh_2020_2050,0.40000000000000036,0.5499999999999998,0.7000000000000002,1.2999999999999998
slr_gis_IntHigh_2020_2050,1.1,1.3050000000000013,1.5024999999999982,2.0000000000000004
slr_glaciers_IntHigh_2020_2050,0.49999999999999956,0.6000000000000001,0.75,1.400999999999999
slr_landwater_IntHigh_2020_2050,0.09999999999999998,0.09999999999999998,0.1499999999999999,0.19999999999999996
slr_massdef_IntHigh_2020_2050,1.5999999999999996,2.0,2.4499999999999993,3.3499999999999996
slr_total_High_2020_2050,3.799999999999998,5.100000000000001,6.099999999999998,7.601000000000001
slr_ocean_dyn_High_2020_2050,1.5000000000000009,1.9000000000000004,2.1000000000000005,2.499999999999999
slr_vlm_High_2020_2050,0.7,0.9,1.15,1.7004999999999997
slr_ais_High_2020_2050,0.5999999999999996,0.7999999999999998,1.0049999999999955,1.6004999999999991
slr_gis_High_2020_2050,1.75,2.05,2.45,3.0999999999999996
slr_glaciers_High_2020_2050,0.4500000000000002,0.6000000000000001,0.7499999999999996,1.4
slr_landwater_High_2020_2050,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.20000000000000007
slr_massdef_High_2020_2050,2.0,2.605000000000002,3.1999999999999993,4.151000000000002
slr_total_Low_2030_2060,1.299999999999999,1.6500000000000021,2.049999999999999,2.950500000000001
slr_ocean_dyn_Low_2030_2060,1.5,1.7999999999999998,2.0,2.4005
slr_vlm_Low_2030_2060,0.7,0.8999999999999999,1.1,1.6004999999999996
